rank,path,loc,weight,impact_score,cumulative_migrated_ts_lines,projected_rust_percent_after_lane
1,client/lib/trit_shadow_control.ts,1040,,2288,1040,88.229
2,core/layer1/memory_runtime/adaptive/strategy_store.ts,862,,1293,1902,88.529
3,client/runtime/lib/mech_suit_mode.ts,451,,1262.8,2353,88.687
4,client/runtime/lib/ternary_belief_engine.ts,451,,1262.8,2804,88.844
5,adapters/cognition/skills/moltbook/moltbook_api.ts,548,,1150.8,3352,89.035
6,adapters/cognition/skills/mcp/mcp_gateway.ts,453,,951.3,3805,89.193
7,client/lib/strategy_campaign_scheduler.ts,397,,873.4,4202,89.331
8,client/runtime/lib/queued_backlog_runtime.ts,303,,848.4,4505,89.437
9,client/runtime/lib/success_criteria_compiler.ts,300,,840,4805,89.542
10,client/runtime/systems/ops/system_health_audit_runner.ts,188,,808.4,4993,89.607
11,client/runtime/lib/upgrade_lane_runtime.ts,286,,800.8,5279,89.707
12,client/runtime/systems/memory/session_isolation.ts,181,,778.3,5460,89.77
13,client/runtime/lib/action_envelope.ts,277,,775.6,5737,89.866
14,client/runtime/systems/ops/readiness_bridge_pack.ts,180,,774,5917,89.929
15,client/runtime/lib/passport_iteration_chain.ts,274,,767.2,6191,90.025
16,core/layer1/memory_runtime/adaptive/layer_store.ts,504,,756,6695,90.201
17,client/runtime/lib/egress_gateway.ts,267,,747.6,6962,90.294
18,client/runtime/lib/test_compactor_benchmark.ts,266,,744.8,7228,90.386
19,client/runtime/lib/security_integrity.ts,260,,728,7488,90.477
20,client/lib/queue_sqlite_runtime.ts,300,,660,7788,90.582
21,client/lib/outcome_fitness.ts,287,,631.4,8075,90.682
22,client/lib/training_conduit_schema.ts,281,,618.2,8356,90.78
23,client/lib/capability_lease.ts,278,,611.6,8634,90.877
24,client/runtime/lib/tool_response_compactor.ts,218,,610.4,8852,90.953
25,core/layer1/memory_runtime/adaptive/focus_trigger_store.ts,391,,586.5,9243,91.089
26,client/lib/autonomy_receipt_schema.ts,249,,547.8,9492,91.176
27,client/lib/trit.ts,226,,497.2,9718,91.255
28,apps/photo-grit/systems/sensory/multimodal_signal_adapter_plane.ts,305,,457.5,10023,91.361
29,client/runtime/lib/ops_domain_conduit_runner.ts,163,,456.4,10186,91.418
30,client/lib/request_envelope.ts,204,,448.8,10390,91.489
31,client/runtime/patches/websocket-client-patch.ts,292,,438,10682,91.591
32,client/runtime/lib/quorum_validator.ts,154,,431.2,10836,91.644
33,client/cognition/orchestration/scratchpad.ts,269,,403.5,11105,91.738
34,client/runtime/patches/websocket-server-patch.ts,259,,388.5,11364,91.828
35,client/lib/mutation_provenance.ts,171,,376.2,11535,91.888
36,client/runtime/systems/sensory/conversation_eye_synthesizer.ts,86,,369.8,11621,91.918
37,client/cognition/orchestration/taskgroup.ts,223,,334.5,11844,91.996
38,client/runtime/lib/action_receipts.ts,118,,330.4,11962,92.037
39,client/lib/conduit_full_lifecycle_probe.ts,149,,327.8,12111,92.089
40,core/layer1/memory_runtime/adaptive/habit_store.ts,216,,324,12327,92.164
41,client/lib/trainability_matrix.ts,146,,321.2,12473,92.215
42,core/layer1/memory_runtime/adaptive/reflex_store.ts,214,,321,12687,92.29
43,client/lib/dynamic_burn_budget_signal.ts,143,,314.6,12830,92.34
44,client/runtime/lib/policy_runtime.ts,109,,305.2,12939,92.378
45,client/cognition/orchestration/scope.ts,202,,303,13141,92.448
46,client/cognition/orchestration/completion.ts,198,,297,13339,92.517
47,client/runtime/lib/moltbook_api.ts,102,,285.6,13441,92.553
48,client/runtime/patches/websocket-heartbeat.ts,189,,283.5,13630,92.618
49,client/lib/emergency_stop.ts,123,,270.6,13753,92.661
50,core/layer1/memory_runtime/adaptive/catalog_store.ts,179,,268.5,13932,92.724
51,client/lib/proposal_type_classifier.ts,117,,257.4,14049,92.765
52,client/runtime/systems/memory/rust_memory_transition_lane.ts,59,,253.7,14108,92.785
53,client/cognition/orchestration/partial.ts,155,,232.5,14263,92.839
54,client/runtime/lib/state_artifact_contract.ts,80,,224,14343,92.867
55,packages/protheus-npm/scripts/install.ts,146,,219,14489,92.918
56,packages/protheus-edge/index.ts,143,,214.5,14632,92.968
57,client/cognition/orchestration/coordinator.ts,139,,208.5,14771,93.016
58,client/cognition/orchestration/checkpoint.ts,131,,196.5,14902,93.062
59,adapters/importers/generic_yaml_importer.ts,93,,195.3,14995,93.094
60,client/runtime/systems/ops/f100_readiness_remediation.ts,44,,189.2,15039,93.11
61,packages/protheus-core/index.ts,123,,184.5,15162,93.153
62,client/runtime/lib/runtime_path_registry.ts,59,,165.2,15221,93.173
63,packages/protheus-npm/bin/protheus.ts,96,,144,15317,93.207
64,adapters/importers/openfang_importer.ts,67,,140.7,15384,93.23
65,adapters/importers/workflow_graph_importer.ts,67,,140.7,15451,93.253
66,adapters/importers/generic_json_importer.ts,66,,138.6,15517,93.276
67,client/runtime/lib/uid.ts,46,,128.8,15563,93.292
68,client/runtime/lib/agent_passport_link.ts,45,,126,15608,93.308
69,client/runtime/lib/tool_compactor_integration.ts,45,,126,15653,93.324
70,client/runtime/lib/eyes_catalog.ts,42,,117.6,15695,93.338
71,client/cognition/orchestration/cli_shared.ts,71,,106.5,15766,93.363
72,client/runtime/lib/ts_entrypoint.ts,37,,103.6,15803,93.376
73,client/cognition/orchestration/schema_runtime.ts,62,,93,15865,93.398
74,client/runtime/lib/integrity_hash_utility.ts,32,,89.6,15897,93.409
75,client/runtime/lib/command_output_compactor.ts,30,,84,15927,93.419
76,core/layer1/memory_runtime/adaptive/uid.ts,53,,79.5,15980,93.438
77,packages/protheus-core/core_profile_contract.ts,53,,79.5,16033,93.456
78,packages/protheus-npm/scripts/smoke.ts,43,,64.5,16076,93.471
79,client/cognition/shared/lib/legacy_retired_wrapper.ts,38,,57,16114,93.485
80,client/cli/bin/protheus-graph.ts,37,,55.5,16151,93.497
81,client/runtime/platform/api/donate_gpu.ts,29,,43.5,16180,93.508
82,adapters/cognition/collectors/bird_x.ts,19,,39.9,16199,93.514
83,adapters/cognition/collectors/ollama_search.ts,19,,39.9,16218,93.521
84,client/lib/protheus_suite_tooling.ts,18,,39.6,16236,93.527
85,client/lib/redaction_classification.ts,14,,30.8,16250,93.532
86,vitest.config.ts,19,,28.5,16269,93.539
87,adapters/cognition/skills/imap-smtp-email/scripts/imap.ts,10,,21,16279,93.542
88,adapters/cognition/skills/imap-smtp-email/scripts/smtp.ts,10,,21,16289,93.546
89,adapters/cognition/skills/moltbook/actuation_adapter.ts,10,,21,16299,93.549
90,adapters/cognition/skills/moltbook/moltbook_publish_guard.ts,10,,21,16309,93.553
91,adapters/cognition/skills/moltbook/proposal_template.ts,10,,21,16319,93.556
92,adapters/cognition/skills/moltstack/scripts/publish.ts,10,,21,16329,93.56
93,adapters/cognition/skills/moltstack/scripts/quality-check.ts,10,,21,16339,93.563
