order	status	file	language	loc	authority_risk_score	migration_potential_score	concept_opportunity_score	priority_score
1	done	core/layer2/conduit/src/lib_parts/command_dispatch_parts/020-register-extension-runtime.rs	rs	873	5	1	4	3.6
2	done	core/layer0/ops/src/swarm_runtime_parts/030-compact-context-value.rs	rs	738	5	1	4	3.6
3	done	core/layer0/ops/src/dashboard_compat_api_parts/config_payload_tests_parts/030-memory-kv-http-routes-round-trip-and-feed-context.rs	rs	526	5	1	4	3.6
4	done	core/layer2/conduit/src/lib_parts/command_dispatch_tests_parts/010-test-policy-paths.rs	rs	473	5	1	4	3.6
5	done	core/layer0/ops/src/swarm_runtime_parts/070-invoke-registered-tool.rs	rs	447	5	1	4	3.6
6	done	core/layer0/ops/src/pydantic_ai_bridge_parts/050-invoke-tool-context.rs	rs	427	5	1	4	3.6
7	done	core/layer0/ops/src/model_router_parts/020-compact-context-receipt.rs	rs	421	5	1	4	3.6
8	done	core/layer0/ops/src/swarm_runtime_parts/140-queue-metrics-prometheus.rs	rs	355	5	1	4	3.6
9	done	core/layer0/ops/src/dashboard_compat_api_parts/config_payload_tests_parts/120-receipts-lineage-route.rs	rs	178	5	1	4	3.6
10	done	core/layer0/ops/src/swarm_runtime_parts/055-handoff-context-isolation.rs	rs	115	5	1	4	3.6
11	done	core/layer0/ops/src/web_conduit.rs	rs	2556	5	1	3	3.4
12	done	core/layer0/ops/src/protheusctl_routes_parts/010-command-routing.rs	rs	2274	5	1	3	3.4
13	done	core/layer0/ops/src/assimilate_kernel_support.rs	rs	1450	5	1	3	3.4
14	done	core/layer0/ops/src/dashboard_compat_api_parts/config_payload_tests_parts/100-governance-and-semantic-memory.rs	rs	1338	5	1	3	3.4
15	done	core/layer0/ops/src/dashboard_compat_api_parts/config_payload_tests_parts/040-terminated-agent-endpoints-round-trip.rs	rs	1287	5	1	3	3.4
16	done	core/layer0/ops/src/dashboard_terminal_broker.rs	rs	1203	5	1	3	3.4
17	done	core/layer0/ops/src/protheusctl_parts/020-evaluate-dispatch-security.rs	rs	1192	5	1	3	3.4
18	done	core/layer0/ops/src/dashboard_agent_state_sessions_parts/002-part.rs	rs	1120	5	1	3	3.4
19	done	core/layer0/ops/src/duality_seed_parts/040-op-dispatch.rs	rs	1105	5	1	3	3.4
20	done	core/layer0/ops/src/swarm_runtime_parts/160-run.rs	rs	1102	5	1	3	3.4
21	done	core/layer0/ops/src/dashboard_compat_api_parts/config_payload_tests_parts/020-agent-create-without-name-returns-non-generic-id.rs	rs	1093	5	1	3	3.4
22	done	core/layer0/ops/src/dashboard_ui_parts/060-action-dispatch.rs	rs	1078	5	1	3	3.4
23	done	core/layer0/ops/src/runtime_systems_parts/120-run-writes-latest-and-status-reads-it.rs	rs	1055	5	1	3	3.4
24	done	core/layer0/ops/src/action_receipts_kernel.rs	rs	1032	5	1	3	3.4
25	done	core/layer0/ops/src/dashboard_provider_runtime_parts/030-model-discovery-and-mutations.rs	rs	1025	5	1	3	3.4
26	done	core/layer0/ops/src/collector_runtime_kernel.rs	rs	1004	5	1	3	3.4
27	done	core/layer0/ops/src/dashboard_provider_runtime_parts/020-provider-http-interop.rs	rs	989	5	1	3	3.4
28	done	core/layer0/ops/src/government_plane.rs	rs	957	5	1	3	3.4
29	done	core/layer0/ops/src/workflow_graph_bridge.rs	rs	924	5	1	3	3.4
30	done	core/layer2/ops/src/srs_contract_runtime.rs	rs	912	5	1	3	3.4
31	done	core/layer0/ops/src/queue_sqlite_kernel.rs	rs	883	5	1	3	3.4
32	done	core/layer0/ops/src/strategy_mode_governor_parts/020-base-policy.rs	rs	882	5	1	3	3.4
33	done	core/layer0/ops/src/dashboard_provider_runtime_parts/010-state-and-registry.rs	rs	870	5	1	3	3.4
34	done	core/layer2/ops/src/nexus_internal_comms_parts/040-run.rs	rs	869	5	1	3	3.4
35	done	core/layer2/autonomy/src/multi_agent_debate.rs	rs	846	5	1	3	3.4
36	done	core/layer0/ops/src/runtime_systems_parts/030-dashboard-contract-guard-from-payload.rs	rs	841	5	1	3	3.4
37	done	core/layer0/ops/src/binary_blob_runtime_run.rs	rs	840	5	1	3	3.4
38	done	core/layer0/ops/src/camel_bridge.rs	rs	840	5	1	3	3.4
39	done	core/layer0/ops/src/binary_blob_runtime.rs	rs	833	5	1	3	3.4
40	done	core/layer2/memory/src/heap_interface.rs	rs	817	5	1	3	3.4
41	done	core/layer0/ops/src/dashboard_compat_api_sidebar_ops_parts/030-sidebar-route-handler.rs	rs	778	5	1	3	3.4
42	done	core/layer0/ops/src/dashboard_tool_turn_loop.rs	rs	776	5	1	3	3.4
43	done	core/layer0/ops/src/security_integrity_kernel.rs	rs	770	5	1	3	3.4
